# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
5.000e-03, 5.000e-01, -1.195e+00, 1.217e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.212e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.185e+00, 1.216e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.210e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.175e+00, 1.215e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.208e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.165e+00, 1.214e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.206e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.155e+00, 1.213e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.204e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.145e+00, 1.212e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.203e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.135e+00, 1.211e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.201e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.125e+00, 1.210e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.199e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.115e+00, 1.209e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.197e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.105e+00, 1.208e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.196e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.095e+00, 1.207e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.194e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.085e+00, 1.206e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.192e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.075e+00, 1.205e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.190e+00, 9.983e+02, 0.000e+00
5.000e-03, 5.000e-01, -1.065e+00, 1.204e+05, 0.000e+00, 0.000e+00, 0.000e+00, 2.188e+00, 9.983e+02, 0.000e+00
